Subfamily,Genus,Species,male_ultrastructure_dorsal,female_ultrastructure_dorsal,mutual,Tribe
Coliadinae,Abaeis,Abaeis_nicippiformis,0,0,0,NA
Coliadinae,Anteos,Anteos_clorinde,1,1,2,NA
Coliadinae,Anteos,Anteos_maerula,0,0,0,NA
Coliadinae,Anteos,Anteos_menippe,1,1,2,NA
Coliadinae,Aphrissa,Aphrissa_boisduvalii,0,0,0,NA
Coliadinae,Aphrissa,Aphrissa_fluminensis,0,0,0,NA
Coliadinae,Aphrissa,Aphrissa_neleis,1,0,1,NA
Coliadinae,Aphrissa,Aphrissa_orbis,1,0,1,NA
Coliadinae,Aphrissa,Aphrissa_schausi,0,0,0,NA
Coliadinae,Aphrissa,Aphrissa_statira,1,1,2,NA
Coliadinae,Catopsilia,Catopsilia_florella,0,0,0,NA
Coliadinae,Catopsilia,Catopsilia_pomona,0,0,0,NA
Coliadinae,Catopsilia,Catopsilia_pyranthe,0,0,0,NA
Coliadinae,Catopsilia,Catopsilia_scylla,0,0,0,NA
Coliadinae,Catopsilia,Catopsilia_thauruma,0,0,0,NA
Coliadinae,Colias,Colias_adelaidae,1,1,2,NA
Coliadinae,Colias,Colias_alexandra,1,0,1,NA
Coliadinae,Colias,Colias_alpherakii,0,0,0,NA
Coliadinae,Colias,Colias_arida,1,0,1,NA
Coliadinae,Colias,Colias_aurora,1,0,1,NA
Coliadinae,Colias,Colias_aurorina,1,1,2,NA
Coliadinae,Colias,Colias_australis,0,0,0,NA
Coliadinae,Colias,Colias_balcanica,1,1,2,NA
Coliadinae,Colias,Colias_boothii,1,1,2,NA
Coliadinae,Colias,Colias_caucasica,1,1,2,NA
Coliadinae,Colias,Colias_chippewa,0,0,0,NA
Coliadinae,Colias,Colias_chlorocoma,0,0,0,NA
Coliadinae,Colias,Colias_christina,1,0,1,NA
Coliadinae,Colias,Colias_christophi,1,1,2,NA
Coliadinae,Colias,Colias_chrysotheme,1,1,2,NA
Coliadinae,Colias,Colias_cocandica,0,0,0,NA
Coliadinae,Colias,Colias_croceus,1,0,1,NA
Coliadinae,Colias,Colias_dimera,1,0,1,NA
Coliadinae,Colias,Colias_diva,1,1,2,NA
Coliadinae,Colias,Colias_electo,1,1,2,NA
Coliadinae,Colias,Colias_eogene,1,1,2,NA
Coliadinae,Colias,Colias_erschoffii,1,1,2,NA
Coliadinae,Colias,Colias_eurytheme,1,0,1,NA
Coliadinae,Colias,Colias_euxanthe,1,1,2,NA
Coliadinae,Colias,Colias_fieldii,1,1,2,NA
Coliadinae,Colias,Colias_gigantea,0,0,0,NA
Coliadinae,Colias,Colias_harfordii,1,0,1,NA
Coliadinae,Colias,Colias_hecla,1,1,2,NA
Coliadinae,Colias,Colias_heos,1,1,2,NA
Coliadinae,Colias,Colias_hyale,0,0,0,NA
Coliadinae,Colias,Colias_hyperborea,1,1,2,NA
Coliadinae,Colias,Colias_interior,1,0,1,NA
Coliadinae,Colias,Colias_ladakensis,0,0,0,NA
Coliadinae,Colias,Colias_lesbia,1,0,1,NA
Coliadinae,Colias,Colias_marcopolo,1,1,2,NA
Coliadinae,Colias,Colias_meadii,1,0,1,NA
Coliadinae,Colias,Colias_montium,0,0,0,NA
Coliadinae,Colias,Colias_myrmidone,1,1,2,NA
Coliadinae,Colias,Colias_nastes,0,0,0,NA
Coliadinae,Colias,Colias_nebulosa,0,0,0,NA
Coliadinae,Colias,Colias_nina,0,0,0,NA
Coliadinae,Colias,Colias_occidentalis,0,0,0,NA
Coliadinae,Colias,Colias_palaeno,0,0,0,NA
Coliadinae,Colias,Colias_phicomone,0,0,0,NA
Coliadinae,Colias,Colias_philodice,0,0,0,NA
Coliadinae,Colias,Colias_rankinensis,1,1,2,NA
Coliadinae,Colias,Colias_regia,1,1,2,NA
Coliadinae,Colias,Colias_romanovi,1,1,2,NA
Coliadinae,Colias,Colias_sagartia,0,0,0,NA
Coliadinae,Colias,Colias_scudderi,0,0,0,NA
Coliadinae,Colias,Colias_sieversi,0,0,0,NA
Coliadinae,Colias,Colias_sifanica,0,0,0,NA
Coliadinae,Colias,Colias_skinneri,0,0,0,NA
Coliadinae,Colias,Colias_staudingeri,1,1,2,NA
Coliadinae,Colias,Colias_stoliczkana,1,0,1,NA
Coliadinae,Colias,Colias_sulitelma,0,1,1,NA
Coliadinae,Colias,Colias_thisoa,1,1,2,NA
Coliadinae,Colias,Colias_tyche,0,0,0,NA
Coliadinae,Colias,Colias_viluiensis,1,1,2,NA
Coliadinae,Colias,Colias_wiskotti,1,0,1,NA
Coliadinae,Dercas,Dercas_lycorias,1,0,1,NA
Coliadinae,Dercas,Dercas_verhuelli,1,0,1,NA
Coliadinae,Eurema,Eurema_adamsi,0,0,0,NA
Coliadinae,Eurema,Eurema_agave,0,0,0,NA
Coliadinae,Eurema,Eurema_albula,0,0,0,NA
Coliadinae,Eurema,Eurema_alitha,1,1,1,NA
Coliadinae,Eurema,Eurema_amelia,0,0,0,NA
Coliadinae,Eurema,Eurema_andersonii,1,1,2,NA
Coliadinae,Eurema,Eurema_arbela,0,0,0,NA
Coliadinae,Eurema,Eurema_blanda,0,0,0,NA
Coliadinae,Eurema,Eurema_brigitta,0,0,0,NA
Coliadinae,Eurema,Eurema_candida,1,0,1,NA
Coliadinae,Eurema,Eurema_celebensis,1,1,2,NA
Coliadinae,Eurema,Eurema_daira,0,0,0,NA
Coliadinae,Eurema,Eurema_desjardinsii,1,1,2,NA
Coliadinae,Eurema,Eurema_deva,0,0,0,NA
Coliadinae,Eurema,Eurema_elathea,1,0,1,NA
Coliadinae,Eurema,Eurema_fabiola,1,1,2,NA
Coliadinae,Eurema,Eurema_floricola,1,0,1,NA
Coliadinae,Eurema,Eurema_hapale,0,0,0,NA
Coliadinae,Eurema,Eurema_hecabe,1,1,2,NA
Coliadinae,Eurema,Eurema_herla,1,1,2,NA
Coliadinae,Eurema,Eurema_lacteola,0,0,0,NA
Coliadinae,Eurema,Eurema_laeta,1,0,1,NA
Coliadinae,Eurema,Eurema_lucina,0,0,0,NA
Coliadinae,Eurema,Eurema_mentawiensis,1,0,1,NA
Coliadinae,Eurema,Eurema_mexicana,1,0,1,NA
Coliadinae,Eurema,Eurema_nicevillei,0,0,0,NA
Coliadinae,Eurema,Eurema_nicippe,0,0,0,NA
Coliadinae,Eurema,Eurema_nigrocincta,0,0,0,NA
Coliadinae,Eurema,Eurema_paulina,0,0,0,NA
Coliadinae,Eurema,Eurema_phiale,1,1,2,NA
Coliadinae,Eurema,Eurema_puella,0,0,0,NA
Coliadinae,Eurema,Eurema_reticulata,0,0,0,NA
Coliadinae,Eurema,Eurema_salome,1,1,2,NA
Coliadinae,Eurema,Eurema_sari,1,0,1,NA
Coliadinae,Eurema,Eurema_sarilata,1,0,1,NA
Coliadinae,Eurema,Eurema_senegalensis,1,1,2,NA
Coliadinae,Eurema,Eurema_simulatrix,0,0,0,NA
Coliadinae,Eurema,Eurema_smilax,1,0,1,NA
Coliadinae,Eurema,Eurema_tilaha,1,1,2,NA
Coliadinae,Eurema,Eurema_tominia,1,1,2,NA
Coliadinae,Eurema,Eurema_xantochlora,0,0,0,NA
Coliadinae,Gandaca,Gandaca_butyrosa,0,0,0,NA
Coliadinae,Gandaca,Gandaca_harina,0,0,0,NA
Coliadinae,Gonepteryx,Gonepteryx_amintha,1,1,2,NA
Coliadinae,Gonepteryx,Gonepteryx_aspasia,1,0,1,NA
Coliadinae,Gonepteryx,Gonepteryx_burmensis,1,1,2,NA
Coliadinae,Gonepteryx,Gonepteryx_cleopatra,1,1,2,NA
Coliadinae,Gonepteryx,Gonepteryx_farinosa,1,0,1,NA
Coliadinae,Gonepteryx,Gonepteryx_maxima,1,1,2,NA
Coliadinae,Gonepteryx,Gonepteryx_rhamni,1,0,1,NA
Coliadinae,Gonepteryx,Gonepteryx_taiwana,1,1,2,NA
Coliadinae,Kricogonia,Kricogonia_cabrerai,1,0,1,NA
Coliadinae,Kricogonia,Kricogonia_lyside,1,1,2,NA
Coliadinae,Leucidia,Leucidia_brephos,0,0,0,NA
Coliadinae,Leucidia,Leucidia_elvina,0,0,0,NA
Coliadinae,Nathalis,Nathalis_iole,0,0,0,NA
Coliadinae,Nathalis,Nathalis_plauta,0,0,0,NA
Coliadinae,Phoebis,Phoebis_agarithe,1,0,1,NA
Coliadinae,Phoebis,Phoebis_argante,1,1,2,NA
Coliadinae,Phoebis,Phoebis_avellaneda,1,0,1,NA
Coliadinae,Phoebis,Phoebis_bourkei,0,0,0,NA
Coliadinae,Phoebis,Phoebis_editha,0,0,0,NA
Coliadinae,Phoebis,Phoebis_godartiana,1,0,1,NA
Coliadinae,Phoebis,Phoebis_hersilia,1,0,1,NA
Coliadinae,Phoebis,Phoebis_marcellina,0,0,0,NA
Coliadinae,Phoebis,Phoebis_neocypris,1,1,2,NA
Coliadinae,Phoebis,Phoebis_philea,1,1,2,NA
Coliadinae,Phoebis,Phoebis_sennae,0,0,0,NA
Coliadinae,Pyrisitia,Pyrisitia_chamberlaini,1,1,2,NA
Coliadinae,Pyrisitia,Pyrisitia_dina,1,1,2,NA
Coliadinae,Pyrisitia,Pyrisitia_euterpiformis,1,1,2,NA
Coliadinae,Pyrisitia,Pyrisitia_leuce,1,0,1,NA
Coliadinae,Eurema,Eurema_lisa,1,0,1,NA
Coliadinae,Pyrisitia,Pyrisitia_messalina,0,0,0,NA
Coliadinae,Eurema,Eurema_nise,1,0,1,NA
Coliadinae,Pyrisitia,Pyrisitia_portoricensis,1,0,1,NA
Coliadinae,Pyrisitia,Pyrisitia_proterpia,1,1,2,NA
Coliadinae,Pyrisitia,Pyrisitia_pyro,1,1,2,NA
Coliadinae,Pyrisitia,Pyrisitia_venusta,1,1,2,NA
Coliadinae,Rhabdodryas,Rhabdodryas_trite,1,0,1,NA
Coliadinae,Teriocolias,Teriocolias_zelia,0,0,0,NA
Coliadinae,Zerene,Zerene_cesonia,1,0,1,NA
Coliadinae,Zerene,Zerene_eurydice,1,0,1,NA
Dismorphiinae,Dismorphia,Dismorphia_altis,0,0,0,NA
Dismorphiinae,Dismorphia,Dismorphia_amphione,0,0,0,NA
Dismorphiinae,Dismorphia,Dismorphia_arcadia,0,0,0,NA
Dismorphiinae,Dismorphia,Dismorphia_crisia,0,0,0,NA
Dismorphiinae,Dismorphia,Dismorphia_cubana,0,0,0,NA
Dismorphiinae,Dismorphia,Dismorphia_eunoe,0,0,0,NA
Dismorphiinae,Dismorphia,Dismorphia_hyposticta,0,0,0,NA
Dismorphiinae,Dismorphia,Dismorphia_laja,0,0,0,NA
Dismorphiinae,Dismorphia,Dismorphia_lelex,0,0,0,NA
Dismorphiinae,Dismorphia,Dismorphia_lewyi,0,0,0,NA
Dismorphiinae,Dismorphia,Dismorphia_thermesina,0,0,0,NA
Dismorphiinae,Dismorphia,Dismorphia_theucharila,0,0,0,NA
Dismorphiinae,Dismorphia,Dismorphia_zaela,0,0,0,NA
Dismorphiinae,Enantia,Enantia_albania,0,0,0,NA
Dismorphiinae,Leptidea,Leptidea_amurensis,0,0,0,NA
Dismorphiinae,Leptidea,Leptidea_duponcheli,0,0,0,NA
Dismorphiinae,Leptidea,Leptidea_gigantea,0,0,0,NA
Dismorphiinae,Leptidea,Leptidea_morsei,0,0,0,NA
Dismorphiinae,Leptidea,Leptidea_sinapis,0,0,0,NA
Dismorphiinae,Lieinix,Lieinix_cinerascens,0,0,0,NA
Dismorphiinae,Lieinix,Lieinix_nemesis,0,0,0,NA
Dismorphiinae,Moschoneura,Moschoneura_pinthous,0,0,0,NA
Dismorphiinae,Patia,Patia_cordillera,0,0,0,NA
Dismorphiinae,Patia,Patia_orise,0,0,0,NA
Dismorphiinae,Patia,Patia_rhetes,0,0,0,NA
Dismorphiinae,Pseudopieris,Pseudopieris_nehemia,0,0,0,NA
Dismorphiinae,Pseudopieris,Pseudopieris_oculta,0,0,0,NA
Dismorphiinae,Pseudopieris,Pseudopieris_viridula,0,0,0,NA
Pierinae,Anthocharis,Anthocharis_bambusarum,0,0,0,Anthocharidini
Pierinae,Anthocharis,Anthocharis_belia,0,0,0,Anthocharidini
Pierinae,Anthocharis,Anthocharis_bieti,0,0,0,Anthocharidini
Pierinae,Anthocharis,Anthocharis_cethura,0,0,0,Anthocharidini
Pierinae,Anthocharis,Anthocharis_damone,0,0,0,Anthocharidini
Pierinae,Anthocharis,Anthocharis_euphenoides,0,0,0,Anthocharidini
Pierinae,Anthocharis,Anthocharis_gruneri,0,0,0,Anthocharidini
Pierinae,Anthocharis,Anthocharis_lanceolata,0,0,0,Anthocharidini
Pierinae,Anthocharis,Anthocharis_limonea,0,0,0,Anthocharidini
Pierinae,Anthocharis,Anthocharis_midea,0,0,0,Anthocharidini
Pierinae,Anthocharis,Anthocharis_sara,0,0,0,Anthocharidini
Pierinae,Anthocharis,Anthocharis_scolymus,0,0,0,Anthocharidini
Pierinae,Eroessa,Eroessa_chiliensis,1,0,1,Anthocharidini
Pierinae,Euchloe,Euchloe_ausonia,0,0,0,Anthocharidini
Pierinae,Euchloe,Euchloe_belemia,0,0,0,Anthocharidini
Pierinae,Euchloe,Euchloe_charlonia,0,0,0,Anthocharidini
Pierinae,Euchloe,Euchloe_lessei,0,0,0,Anthocharidini
Pierinae,Euchloe,Euchloe_lucilla,0,0,0,Anthocharidini
Pierinae,Euchloe,Euchloe_olympia,0,0,0,Anthocharidini
Pierinae,Euchloe,Euchloe_penia,0,0,0,Anthocharidini
Pierinae,Euchloe,Euchloe_tagis,0,0,0,Anthocharidini
Pierinae,Euchloe,Euchloe_tomyris,0,0,0,Anthocharidini
Pierinae,Euchloe,Euchloe_transcaspica,0,0,0,Anthocharidini
Pierinae,Hebomoia,Hebomoia_glaucippe,1,1,2,Anthocharidini
Pierinae,Hesperocharis,Hesperocharis_anguitia,0,0,0,Anthocharidini
Pierinae,Hesperocharis,Hesperocharis_costaricensis,0,0,0,Anthocharidini
Pierinae,Hesperocharis,Hesperocharis_crocea,0,0,0,Anthocharidini
Pierinae,Hesperocharis,Hesperocharis_erota,0,0,0,Anthocharidini
Pierinae,Hesperocharis,Hesperocharis_graphites,0,0,0,Anthocharidini
Pierinae,Hesperocharis,Hesperocharis_leucania,0,0,0,Anthocharidini
Pierinae,Hesperocharis,Hesperocharis_marchalii,0,0,0,Anthocharidini
Pierinae,Hesperocharis,Hesperocharis_nambii,0,0,0,Anthocharidini
Pierinae,Hesperocharis,Hesperocharis_nera,0,0,0,Anthocharidini
Pierinae,Hesperocharis,Hesperocharis_nereina,0,0,0,Anthocharidini
Pierinae,Hesperocharis,Hesperocharis_paranensis,0,0,0,Anthocharidini
Pierinae,Mathania,Mathania_agasicles,0,0,0,Anthocharidini
Pierinae,Mathania,Mathania_aureomaculata,0,0,0,Anthocharidini
Pierinae,Mathania,Mathania_carrizoi,0,0,0,Anthocharidini
Pierinae,Mathania,Mathania_leucothea,0,0,0,Anthocharidini
Pierinae,Melete,Melete_calymnia,0,0,0,Anthocharidini
Pierinae,Melete,Melete_leucadia,0,0,0,Anthocharidini
Pierinae,Melete,Melete_leucanthe,0,0,0,Anthocharidini
Pierinae,Melete,Melete_lycimnia,0,0,0,Anthocharidini
Pierinae,Melete,Melete_polyhymnia,0,0,0,Anthocharidini
Pierinae,Melete,Melete_salacia,0,0,0,Anthocharidini
Pierinae,Zegris,Zegris_eupheme,0,0,0,Anthocharidini
Pierinae,Zegris,Zegris_fausti,1,0,1,Anthocharidini
Pierinae,Zegris,Zegris_pyrothoe,0,0,0,Anthocharidini
Pierinae,Elodina,Elodina_angulipennis,0,0,0,Elodinini
Pierinae,Elodina,Elodina_argypheus,0,0,0,Elodinini
Pierinae,Elodina,Elodina_egnatia,0,0,0,Elodinini
Pierinae,Elodina,Elodina_hydatis,0,0,0,Elodinini
Pierinae,Elodina,Elodina_hypatia,0,0,0,Elodinini
Pierinae,Leptosia,Leptosia_alcesta,0,0,0,Leptosiaini
Pierinae,Leptosia,Leptosia_hybrida,0,0,0,Leptosiaini
Pierinae,Leptosia,Leptosia_marginea,0,0,0,Leptosiaini
Pierinae,Leptosia,Leptosia_medusa,0,0,0,Leptosiaini
Pierinae,Leptosia,Leptosia_nupta,0,0,0,Leptosiaini
Pierinae,Pareronia,Pareronia_anais,0,0,0,Nepheroniini
Pierinae,Pareronia,Pareronia_argolis,0,0,0,Nepheroniini
Pierinae,Pareronia,Pareronia_avatar,0,0,0,Nepheroniini
Pierinae,Pareronia,Pareronia_boebera,0,0,0,Nepheroniini
Pierinae,Pareronia,Pareronia_ceylanica,0,0,0,Nepheroniini
Pierinae,Pareronia,Pareronia_chinki,0,0,0,Nepheroniini
Pierinae,Pareronia,Pareronia_iobaea,0,0,0,Nepheroniini
Pierinae,Pareronia,Pareronia_nishiyamai,0,0,0,Nepheroniini
Pierinae,Pareronia,Pareronia_phocaea,0,0,0,Nepheroniini
Pierinae,Pareronia,Pareronia_tritaea,0,0,0,Nepheroniini
Pierinae,Pareronia,Pareronia_valeria,0,0,0,Nepheroniini
Pierinae,Aoa,Aoa_affinis,0,0,0,Pierini
Pierinae,Aporia,Aporia_acraea,0,0,0,Pierini
Pierinae,Aporia,Aporia_agathon,0,0,0,Pierini
Pierinae,Aporia,Aporia_bieti,0,0,0,Pierini
Pierinae,Aporia,Aporia_crataegi,0,0,0,Pierini
Pierinae,Aporia,Aporia_delavayi,0,0,0,Pierini
Pierinae,Aporia,Aporia_genestieri,0,0,0,Pierini
Pierinae,Aporia,Aporia_goutellei,0,0,0,Pierini
Pierinae,Aporia,Aporia_hippia,0,0,0,Pierini
Pierinae,Aporia,Aporia_largeteaui,0,0,0,Pierini
Pierinae,Aporia,Aporia_larraldei,0,0,0,Pierini
Pierinae,Aporia,Aporia_leucodice,0,0,0,Pierini
Pierinae,Aporia,Aporia_lhamo,0,0,0,Pierini
Pierinae,Aporia,Aporia_martineti,0,0,0,Pierini
Pierinae,Aporia,Aporia_monbeigi,0,0,0,Pierini
Pierinae,Aporia,Aporia_nabellica,0,0,0,Pierini
Pierinae,Aporia,Aporia_oberthuri,0,0,0,Pierini
Pierinae,Aporia,Aporia_potanini,0,0,0,Pierini
Pierinae,Aporia,Aporia_procris,0,0,0,Pierini
Pierinae,Aporia,Aporia_soracta,0,0,0,Pierini
Pierinae,Appias,Appias_ada,0,0,0,Pierini
Pierinae,Appias,Appias_cardena,0,0,0,Pierini
Pierinae,Appias,Appias_celestina,0,0,0,Pierini
Pierinae,Appias,Appias_drusilla,0,0,0,Pierini
Pierinae,Appias,Appias_indra,0,0,0,Pierini
Pierinae,Appias,Appias_ithome,0,0,0,Pierini
Pierinae,Appias,Appias_libythea,0,0,0,Pierini
Pierinae,Appias,Appias_lyncida,0,0,0,Pierini
Pierinae,Appias,Appias_machoboides,0,0,0,Pierini
Pierinae,Appias,Appias_maria,0,0,0,Pierini
Pierinae,Appias,Appias_melania,0,0,0,Pierini
Pierinae,Appias,Appias_nephele,0,0,0,Pierini
Pierinae,Appias,Appias_nero,0,0,0,Pierini
Pierinae,Appias,Appias_olferna,0,0,0,Pierini
Pierinae,Appias,Appias_pandione,0,0,0,Pierini
Pierinae,Appias,Appias_paulina,0,0,0,Pierini
Pierinae,Appias,Appias_phaola,0,0,0,Pierini
Pierinae,Appias,Appias_phoebe,0,0,0,Pierini
Pierinae,Appias,Appias_sabina,0,0,0,Pierini
Pierinae,Appias,Appias_sylvia,0,0,0,Pierini
Pierinae,Appias,Appias_waltraudae,0,0,0,Pierini
Pierinae,Appias,Appias_wardii,0,0,0,Pierini
Pierinae,Appias,Appias_zarinda,0,0,0,Pierini
Pierinae,Appias,Appias_zondervani,0,0,0,Pierini
Pierinae,Archonias,Archonias_brassolis,0,0,0,Pierini
Pierinae,Ascia,Ascia_monuste,0,0,0,Pierini
Pierinae,Belenois,Belenois_aurota,0,0,0,Pierini
Pierinae,Belenois,Belenois_calypso,0,0,0,Pierini
Pierinae,Belenois,Belenois_crawshayi,0,0,0,Pierini
Pierinae,Belenois,Belenois_creona,0,0,0,Pierini
Pierinae,Belenois,Belenois_gidica,0,0,0,Pierini
Pierinae,Belenois,Belenois_grandidieri,0,0,0,Pierini
Pierinae,Belenois,Belenois_java,0,0,0,Pierini
Pierinae,Belenois,Belenois_margaritacea,0,0,0,Pierini
Pierinae,Belenois,Belenois_raffrayi,0,0,0,Pierini
Pierinae,Belenois,Belenois_solilucis,0,0,0,Pierini
Pierinae,Belenois,Belenois_subeida,0,0,0,Pierini
Pierinae,Belenois,Belenois_theora,0,0,0,Pierini
Pierinae,Belenois,Belenois_theuszi,0,0,0,Pierini
Pierinae,Belenois,Belenois_thysa,0,0,0,Pierini
Pierinae,Belenois,Belenois_victoria,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_affinis,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_albofasciata,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_amastris,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_anaitis,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_apaturina,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_arborardens,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_aureomaculata,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_bithys,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_cerberus,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_chelidonis,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_chrysolopha,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_cinerea,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_colla,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_collina,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_corcyra,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_ctemene,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_discalba,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_distincta,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_eurigania,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_ferra,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_flisa,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_frontina,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_fulva,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_grisea,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_hebra,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_hegemon,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_huancabambensis,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_huebneri,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_incerta,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_lanceolata,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_leucophaea,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_ludovici,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_manco,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_modesta,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_nimbata,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_nimbice,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_notha,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_philais,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_philodora,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_philone,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_philoscia,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_pieris,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_pinava,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_potameoides,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_prioneris,0,0,0,Pierini
