Subfamily,Genus,Species,male_ultrastructure_dorsal,female_ultrastructure_dorsal,mutual,Tribe
Pierinae,Catasticta,Catasticta_radiata,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_reducta,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_scaeva,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_scurra,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_seitzi,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_sella,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_semiramis,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_sinapina,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_sisamnus,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_socorrensis,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_striata,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_suadela,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_suasa,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_susiana,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_tamsa,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_teutamis,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_teutila,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_theresa,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_toca,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_tomyris,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_tricolor,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_troezene,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_truncata,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_uricoecheae,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_vulnerata,0,0,0,Pierini
Pierinae,Catasticta,Catasticta_watkinsi,0,0,0,Pierini
Pierinae,Cepora,Cepora_aspasia,0,0,0,Pierini
Pierinae,Cepora,Cepora_bathseba,0,0,0,Pierini
Pierinae,Cepora,Cepora_boisduvaliana,0,0,0,Pierini
Pierinae,Cepora,Cepora_licea,0,0,0,Pierini
Pierinae,Cepora,Cepora_nadina,0,0,0,Pierini
Pierinae,Cepora,Cepora_nerissa,0,0,0,Pierini
Pierinae,Cepora,Cepora_pactolicus,0,0,0,Pierini
Pierinae,Cepora,Cepora_perimale,0,0,0,Pierini
Pierinae,Cunizza,Cunizza_hirlanda,0,0,0,Pierini
Pierinae,Delias,Delias_acalis,0,0,0,Pierini
Pierinae,Delias,Delias_aganippe,0,0,0,Pierini
Pierinae,Delias,Delias_agoranis,0,0,0,Pierini
Pierinae,Delias,Delias_agostina,0,0,0,Pierini
Pierinae,Delias,Delias_albertisi,0,0,0,Pierini
Pierinae,Delias,Delias_alepa,0,0,0,Pierini
Pierinae,Delias,Delias_anamesa,0,0,0,Pierini
Pierinae,Delias,Delias_angabungana,0,0,0,Pierini
Pierinae,Delias,Delias_apatela,0,0,0,Pierini
Pierinae,Delias,Delias_apoensis,0,0,0,Pierini
Pierinae,Delias,Delias_argenthona,0,0,0,Pierini
Pierinae,Delias,Delias_aroae,0,0,0,Pierini
Pierinae,Delias,Delias_aruna,0,0,0,Pierini
Pierinae,Delias,Delias_aurantia,0,0,0,Pierini
Pierinae,Delias,Delias_autumnalis,0,0,0,Pierini
Pierinae,Delias,Delias_awongkor,0,0,0,Pierini
Pierinae,Delias,Delias_bakeri,0,0,0,Pierini
Pierinae,Delias,Delias_baracasa,0,0,0,Pierini
Pierinae,Delias,Delias_belisama,0,0,0,Pierini
Pierinae,Delias,Delias_belladonna,0,0,0,Pierini
Pierinae,Delias,Delias_berinda,0,0,0,Pierini
Pierinae,Delias,Delias_biaka,0,0,0,Pierini
Pierinae,Delias,Delias_bornemanni,0,0,0,Pierini
Pierinae,Delias,Delias_bosnikiana,0,0,0,Pierini
Pierinae,Delias,Delias_bothwelli,0,0,0,Pierini
Pierinae,Delias,Delias_buruana,0,0,0,Pierini
Pierinae,Delias,Delias_callima,0,0,0,Pierini
Pierinae,Delias,Delias_callista,0,0,0,Pierini
Pierinae,Delias,Delias_campbelli,0,0,0,Pierini
Pierinae,Delias,Delias_caroli,0,0,0,Pierini
Pierinae,Delias,Delias_carstensziana,0,0,0,Pierini
Pierinae,Delias,Delias_castaneus,0,0,0,Pierini
Pierinae,Delias,Delias_catisa,0,0,0,Pierini
Pierinae,Delias,Delias_catocausta,0,0,0,Pierini
Pierinae,Delias,Delias_ceneus,0,0,0,Pierini
Pierinae,Delias,Delias_chrysomelaena,0,0,0,Pierini
Pierinae,Delias,Delias_cinerascens,0,0,0,Pierini
Pierinae,Delias,Delias_citrona,0,0,0,Pierini
Pierinae,Delias,Delias_clathrata,0,0,0,Pierini
Pierinae,Delias,Delias_crithoe,0,0,0,Pierini
Pierinae,Delias,Delias_cuningputi,0,0,0,Pierini
Pierinae,Delias,Delias_descombesi,0,0,0,Pierini
Pierinae,Delias,Delias_diaphana,0,0,0,Pierini
Pierinae,Delias,Delias_dice,0,0,0,Pierini
Pierinae,Delias,Delias_discus,0,0,0,Pierini
Pierinae,Delias,Delias_dixeyi,0,0,0,Pierini
Pierinae,Delias,Delias_dohertyi,0,0,0,Pierini
Pierinae,Delias,Delias_dorimene,0,0,0,Pierini
Pierinae,Delias,Delias_dortheysi,0,0,0,Pierini
Pierinae,Delias,Delias_dorylaea,0,0,0,Pierini
Pierinae,Delias,Delias_doylei,0,0,0,Pierini
Pierinae,Delias,Delias_dumasi,0,0,0,Pierini
Pierinae,Delias,Delias_duris,0,0,0,Pierini
Pierinae,Delias,Delias_echidna,0,0,0,Pierini
Pierinae,Delias,Delias_edela,0,0,0,Pierini
Pierinae,Delias,Delias_eichhorni,0,0,0,Pierini
Pierinae,Delias,Delias_eileenae,0,0,0,Pierini
Pierinae,Delias,Delias_ellipsis,0,0,0,Pierini
Pierinae,Delias,Delias_elongatus,0,0,0,Pierini
Pierinae,Delias,Delias_ennia,0,0,0,Pierini
Pierinae,Delias,Delias_enniana,0,0,0,Pierini
Pierinae,Delias,Delias_eschatia,0,0,0,Pierini
Pierinae,Delias,Delias_eucharis,0,0,0,Pierini
Pierinae,Delias,Delias_eudiabolus,0,0,0,Pierini
Pierinae,Delias,Delias_eumolpe,0,0,0,Pierini
Pierinae,Delias,Delias_fascelis,0,0,0,Pierini
Pierinae,Delias,Delias_fasciata,0,0,0,Pierini
Pierinae,Delias,Delias_frater,0,0,0,Pierini
Pierinae,Delias,Delias_fruhstorferi,0,0,0,Pierini
Pierinae,Delias,Delias_gabia,0,0,0,Pierini
Pierinae,Delias,Delias_georgina,0,0,0,Pierini
Pierinae,Delias,Delias_geraldina,0,0,0,Pierini
Pierinae,Delias,Delias_gilliardi,0,0,0,Pierini
Pierinae,Delias,Delias_hallstromi,0,0,0,Pierini
Pierinae,Delias,Delias_hapalina,0,0,0,Pierini
Pierinae,Delias,Delias_harpalyce,0,0,0,Pierini
Pierinae,Delias,Delias_hemianops,0,0,0,Pierini
Pierinae,Delias,Delias_henningia,0,0,0,Pierini
Pierinae,Delias,Delias_heroni,0,0,0,Pierini
Pierinae,Delias,Delias_hyparete,0,0,0,Pierini
Pierinae,Delias,Delias_hypomelas,0,0,0,Pierini
Pierinae,Delias,Delias_iltis,0,0,0,Pierini
Pierinae,Delias,Delias_imitator,0,0,0,Pierini
Pierinae,Delias,Delias_isocharis,0,0,0,Pierini
Pierinae,Delias,Delias_isse,0,0,0,Pierini
Pierinae,Delias,Delias_itamputi,0,0,0,Pierini
Pierinae,Delias,Delias_joiceyi,0,0,0,Pierini
Pierinae,Delias,Delias_jordani,0,0,0,Pierini
Pierinae,Delias,Delias_kenricki,0,0,0,Pierini
Pierinae,Delias,Delias_klossi,0,0,0,Pierini
Pierinae,Delias,Delias_kuehni,0,0,0,Pierini
Pierinae,Delias,Delias_kummeri,0,0,0,Pierini
Pierinae,Delias,Delias_ladas,0,0,0,Pierini
Pierinae,Delias,Delias_ladox,0,0,0,Pierini
Pierinae,Delias,Delias_lativitta,0,0,0,Pierini
Pierinae,Delias,Delias_lecerfi,0,0,0,Pierini
Pierinae,Delias,Delias_lemoulti,0,0,0,Pierini
Pierinae,Delias,Delias_leucias,0,0,0,Pierini
Pierinae,Delias,Delias_levicki,0,0,0,Pierini
Pierinae,Delias,Delias_ligata,0,0,0,Pierini
Pierinae,Delias,Delias_luctuosa,0,0,0,Pierini
Pierinae,Delias,Delias_lytaea,0,0,0,Pierini
Pierinae,Delias,Delias_manuselensis,0,0,0,Pierini
Pierinae,Delias,Delias_maudei,0,0,0,Pierini
Pierinae,Delias,Delias_mavroneria,0,0,0,Pierini
Pierinae,Delias,Delias_meeki,0,0,0,Pierini
Pierinae,Delias,Delias_melusina,0,0,0,Pierini
Pierinae,Delias,Delias_menooensis,0,0,0,Pierini
Pierinae,Delias,Delias_microsticha,0,0,0,Pierini
Pierinae,Delias,Delias_mira,0,0,0,Pierini
Pierinae,Delias,Delias_momea,0,0,0,Pierini
Pierinae,Delias,Delias_mysis,0,0,0,Pierini
Pierinae,Delias,Delias_nais,0,0,0,Pierini
Pierinae,Delias,Delias_niepelti,0,0,0,Pierini
Pierinae,Delias,Delias_nigrina,0,0,0,Pierini
Pierinae,Delias,Delias_nigropunctata,0,0,0,Pierini
Pierinae,Delias,Delias_ninus,0,0,0,Pierini
Pierinae,Delias,Delias_nysa,0,0,0,Pierini
Pierinae,Delias,Delias_oktanglap,0,0,0,Pierini
Pierinae,Delias,Delias_oraia,0,0,0,Pierini
Pierinae,Delias,Delias_ornytion,0,0,0,Pierini
Pierinae,Delias,Delias_pasithoe,0,0,0,Pierini
Pierinae,Delias,Delias_patrua,0,0,0,Pierini
Pierinae,Delias,Delias_periboea,0,0,0,Pierini
Pierinae,Delias,Delias_pheres,0,0,0,Pierini
Pierinae,Delias,Delias_phippsi,0,0,0,Pierini
Pierinae,Delias,Delias_poecilea,0,0,0,Pierini
Pierinae,Delias,Delias_pratti,0,0,0,Pierini
Pierinae,Delias,Delias_prouti,0,0,0,Pierini
Pierinae,Delias,Delias_ribbei,0,0,0,Pierini
Pierinae,Delias,Delias_rileyi,0,0,0,Pierini
Pierinae,Delias,Delias_roepkei,0,0,0,Pierini
Pierinae,Delias,Delias_rosenbergi,0,0,0,Pierini
Pierinae,Delias,Delias_rothschildi,0,0,0,Pierini
Pierinae,Delias,Delias_sagessa,0,0,0,Pierini
Pierinae,Delias,Delias_salvini,0,0,0,Pierini
Pierinae,Delias,Delias_sambawana,0,0,0,Pierini
Pierinae,Delias,Delias_sanaca,0,0,0,Pierini
Pierinae,Delias,Delias_schoenbergi,0,0,0,Pierini
Pierinae,Delias,Delias_schoenigi,0,0,0,Pierini
Pierinae,Delias,Delias_schuppi,0,0,0,Pierini
Pierinae,Delias,Delias_shirozui,0,0,0,Pierini
Pierinae,Delias,Delias_singhapura,0,0,0,Pierini
Pierinae,Delias,Delias_splendida,0,0,0,Pierini
Pierinae,Delias,Delias_stresemanni,0,0,0,Pierini
Pierinae,Delias,Delias_subnubila,0,0,0,Pierini
Pierinae,Delias,Delias_subviridis,0,0,0,Pierini
Pierinae,Delias,Delias_talboti,0,0,0,Pierini
Pierinae,Delias,Delias_tessei,0,0,0,Pierini
Pierinae,Delias,Delias_themis,0,0,0,Pierini
Pierinae,Delias,Delias_timorensis,0,0,0,Pierini
Pierinae,Delias,Delias_totila,0,0,0,Pierini
Pierinae,Delias,Delias_toxopei,0,0,0,Pierini
Pierinae,Delias,Delias_vidua,0,0,0,Pierini
Pierinae,Delias,Delias_vollmani,0,0,0,Pierini
Pierinae,Delias,Delias_weiskei,0,0,0,Pierini
Pierinae,Delias,Delias_wilemani,0,0,0,Pierini
Pierinae,Delias,Delias_woodi,0,0,0,Pierini
Pierinae,Delias,Delias_zebuda,0,0,0,Pierini
Pierinae,Dixeia,Dixeia_doxo,0,0,0,Pierini
Pierinae,Dixeia,Dixeia_pigea,0,0,0,Pierini
Pierinae,Gandaca,Ganyra_phaloe,0,0,0,Pierini
Pierinae,Hypsochila,Hypsochila_argyrodice,0,0,0,Pierini
Pierinae,Hypsochila,Hypsochila_galactodice,0,0,0,Pierini
Pierinae,Hypsochila,Hypsochila_huemul,0,0,0,Pierini
Pierinae,Hypsochila,Hypsochila_microdice,0,0,0,Pierini
Pierinae,Hypsochila,Hypsochila_penai,0,0,0,Pierini
Pierinae,Hypsochila,Hypsochila_wagenknechti,0,0,0,Pierini
Pierinae,Itaballia,Itaballia_demophile,0,0,0,Pierini
Pierinae,Itaballia,Itaballia_marana,0,0,0,Pierini
Pierinae,Itaballia,Itaballia_pandosia,0,0,0,Pierini
Pierinae,Leodonta,Leodonta_chiriquensis,0,0,0,Pierini
Pierinae,Leodonta,Leodonta_dysoni,0,0,0,Pierini
Pierinae,Leodonta,Leodonta_ekatherinae,0,0,0,Pierini
Pierinae,Leodonta,Leodonta_jeanroberti,0,0,0,Pierini
Pierinae,Leodonta,Leodonta_tagaste,0,0,0,Pierini
Pierinae,Leodonta,Leodonta_tellane,0,0,0,Pierini
Pierinae,Leodonta,Leodonta_tungurahuana,0,0,0,Pierini
Pierinae,Leodonta,Leodonta_zenobina,0,0,0,Pierini
Pierinae,Leptophobia,Leptophobia_aripa,0,0,0,Pierini
Pierinae,Leptophobia,Leptophobia_caesia,0,0,0,Pierini
Pierinae,Leptophobia,Leptophobia_diaguita,0,0,0,Pierini
Pierinae,Leptophobia,Leptophobia_eleusis,0,0,0,Pierini
Pierinae,Leptophobia,Leptophobia_eucosma,0,0,0,Pierini
Pierinae,Leptophobia,Leptophobia_forsteri,0,0,0,Pierini
Pierinae,Leptophobia,Leptophobia_helena,0,0,0,Pierini
Pierinae,Leptophobia,Leptophobia_nephthis,0,0,0,Pierini
Pierinae,Leptophobia,Leptophobia_olympia,0,0,0,Pierini
Pierinae,Leptophobia,Leptophobia_penthica,0,0,0,Pierini
Pierinae,Leptophobia,Leptophobia_philoma,0,0,0,Pierini
Pierinae,Leptophobia,Leptophobia_tovaria,0,0,0,Pierini
Pierinae,Mesapia,Mesapia_peloria,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_agathina,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_chloris,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_citrina,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_croceus,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_erlangeri,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_ertli,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_flaviana,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_hilara,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_jacksoni,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_kiwuensis,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_ngaziya,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_nubila,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_ochracea,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_phileris,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_poppea,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_rhodope,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_ruandana,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_rubricosta,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_rueppellii,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_sagala,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_schumanni,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_similis,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_smithii,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_spica,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_splendens,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_sulphurea,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_trimenia,0,0,0,Pierini
Pierinae,Mylothris,Mylothris_yulei,0,0,0,Pierini
Pierinae,Neophasia,Neophasia_menapia,0,0,0,Pierini
Pierinae,Neophasia,Neophasia_terlooii,0,0,0,Pierini
Pierinae,Nepheronia,Nepheronia_argia,0,0,0,Pierini
Pierinae,Nepheronia,Nepheronia_buquetii,0,0,0,Pierini
Pierinae,Nepheronia,Nepheronia_pharis,0,0,0,Pierini
Pierinae,Nepheronia,Nepheronia_thalassina,0,0,0,Pierini
Pierinae,Pereute,Pereute_antodyca,0,0,0,Pierini
Pierinae,Pereute,Pereute_callinice,0,0,0,Pierini
Pierinae,Pereute,Pereute_callinira,0,0,0,Pierini
Pierinae,Pereute,Pereute_charops,0,0,0,Pierini
Pierinae,Pereute,Pereute_leucodrosime,0,0,0,Pierini
Pierinae,Pereute,Pereute_lindemannae,0,0,0,Pierini
Pierinae,Pereute,Pereute_swainsoni,0,0,0,Pierini
Pierinae,Pereute,Pereute_telthusa,0,0,0,Pierini
Pierinae,Perrhybris,Perrhybris_lypera,0,0,0,Pierini
Pierinae,Perrhybris,Perrhybris_pamela,0,0,0,Pierini
Pierinae,Phulia,Phulia_garleppi,0,0,0,Pierini
Pierinae,Phulia,Phulia_nannophyes,0,0,0,Pierini
Pierinae,Phulia,Phulia_nymphula,0,0,0,Pierini
Pierinae,Pieriballia,Pieriballia_viardi,0,0,0,Pierini
Pierinae,Pieris,Pieris_balcana,0,0,0,Pierini
Pierinae,Pieris,Pieris_brassicae,0,0,0,Pierini
Pierinae,Pieris,Pieris_brassicoides,0,0,0,Pierini
Pierinae,Pieris,Pieris_bryoniae,0,0,0,Pierini
Pierinae,Pieris,Pieris_canidia,0,0,0,Pierini
Pierinae,Pieris,Pieris_davidis,0,0,0,Pierini
Pierinae,Pieris,Pieris_deota,0,0,0,Pierini
Pierinae,Pieris,Pieris_dulcinea,0,0,0,Pierini
Pierinae,Pieris,Pieris_ergane,0,0,0,Pierini
Pierinae,Pieris,Pieris_erutae,0,0,0,Pierini
Pierinae,Pieris,Pieris_extensa,0,0,0,Pierini
Pierinae,Pieris,Pieris_koslovi,0,0,0,Pierini
Pierinae,Pieris,Pieris_krueperi,0,0,0,Pierini
Pierinae,Pieris,Pieris_mannii,0,0,0,Pierini
Pierinae,Pieris,Pieris_marginalis,0,0,0,Pierini
Pierinae,Pieris,Pieris_mcdunnoughi,0,0,0,Pierini
Pierinae,Pieris,Pieris_melete,0,0,0,Pierini
Pierinae,Pieris,Pieris_napi,0,0,0,Pierini
Pierinae,Pieris,Pieris_narina,0,0,0,Pierini
Pierinae,Pieris,Pieris_nesis,0,0,0,Pierini
Pierinae,Pieris,Pieris_ochsenheimeri,0,0,0,Pierini
Pierinae,Pieris,Pieris_oleracea,0,0,0,Pierini
Pierinae,Pieris,Pieris_orientis,0,0,0,Pierini
Pierinae,Pieris,Pieris_persis,0,0,0,Pierini
Pierinae,Pieris,Pieris_pseudorapae,0,0,0,Pierini
Pierinae,Pieris,Pieris_rapae,0,0,0,Pierini
Pierinae,Pieris,Pieris_rapae_crucivora,0,0,0,Pierini
Pierinae,Pieris,Sinopieris_dubernardi,0,0,0,Pierini
Pierinae,Pontia,Pontia_beckerii,0,0,0,Pierini
Pierinae,Pontia,Pontia_callidice,0,0,0,Pierini
Pierinae,Pontia,Pontia_daplidice,0,0,0,Pierini
Pierinae,Pontia,Pontia_glauconome,0,0,0,Pierini
Pierinae,Pontia,Pontia_helice,0,0,0,Pierini
Pierinae,Pontia,Pontia_occidentalis,0,0,0,Pierini
Pierinae,Pontia,Pontia_protodice,0,0,0,Pierini
Pierinae,Pontia,Pontia_sisymbrii,0,0,0,Pierini
Pierinae,Prioneris,Prioneris_autothisbe,0,0,0,Pierini
Pierinae,Prioneris,Prioneris_cornelia,0,0,0,Pierini
Pierinae,Prioneris,Prioneris_philonome,0,0,0,Pierini
Pierinae,Prioneris,Prioneris_sita,0,0,0,Pierini
Pierinae,Prioneris,Prioneris_thestylis,0,0,0,Pierini
Pierinae,Saletara,Saletara_cycinna,0,0,0,Pierini
Pierinae,Saletara,Saletara_liberia,0,0,0,Pierini
Pierinae,Saletara,Saletara_panda,0,0,0,Pierini
Pierinae,Tatochila,Tatochila_autodice,0,0,0,Pierini
Pierinae,Tatochila,Tatochila_distincta,0,0,0,Pierini
Pierinae,Tatochila,Tatochila_inversa,0,0,0,Pierini
Pierinae,Tatochila,Tatochila_mariae,0,0,0,Pierini
Pierinae,Tatochila,Tatochila_mercedis,0,0,0,Pierini
Pierinae,Tatochila,Tatochila_orthodice,0,0,0,Pierini
Pierinae,Tatochila,Tatochila_sagittata,0,0,0,Pierini
Pierinae,Tatochila,Tatochila_stigmadice,0,0,0,Pierini
Pierinae,Tatochila,Tatochila_theodice,0,0,0,Pierini
Pierinae,Tatochila,Tatochila_xanthodice,0,0,0,Pierini
Pierinae,Theochila,Theochila_maenacte,0,0,0,Pierini
Pierinae,Afrodryas,Afrodryas_leda,1,0,1,Teracolini
Pierinae,Colotis,Colotis_amata,0,0,0,Teracolini
Pierinae,Colotis,Colotis_antevippe,1,0,1,Teracolini
Pierinae,Colotis,Colotis_aurigineus,1,0,1,Teracolini
Pierinae,Colotis,Colotis_aurora,1,0,1,Teracolini
Pierinae,Colotis,Colotis_auxo,1,1,2,Teracolini
Pierinae,Colotis,Colotis_celimene,1,0,1,Teracolini
Pierinae,Colotis,Colotis_chrysonome,0,0,0,Teracolini
Pierinae,Colotis,Colotis_daira,1,1,2,Teracolini
Pierinae,Colotis,Colotis_danae,1,1,2,Teracolini
Pierinae,Colotis,Colotis_doubledayi,0,0,0,Teracolini
Pierinae,Colotis,Colotis_etrida,1,0,1,Teracolini
Pierinae,Colotis,Colotis_euippe,1,0,1,Teracolini
Pierinae,Colotis,Colotis_evagore,1,0,1,Teracolini
Pierinae,Colotis,Colotis_evanthe,1,1,2,Teracolini
Pierinae,Colotis,Colotis_evenina,1,1,2,Teracolini
Pierinae,Colotis,Colotis_fausta,0,0,0,Teracolini
Pierinae,Colotis,Colotis_guenei,1,0,1,Teracolini
Pierinae,Colotis,Colotis_hetaera,0,0,0,Teracolini
Pierinae,Colotis,Colotis_hildebrandti,1,0,1,Teracolini
Pierinae,Colotis,Colotis_ione,1,0,1,Teracolini
Pierinae,Colotis,Colotis_mananhari,0,0,0,Teracolini
Pierinae,Colotis,Colotis_pallene,1,0,1,Teracolini
Pierinae,Colotis,Colotis_regina,1,0,1,Teracolini
Pierinae,Colotis,Colotis_vesta,1,1,2,Teracolini
Pierinae,Colotis,Colotis_zoe,1,0,1,Teracolini
Pierinae,Colotis,Teracolus_agoye,1,1,2,Teracolini
Pierinae,Colotis,Teracolus_eris,1,0,1,Teracolini
Pierinae,Colotis,Teracolus_subfasciatus,1,1,2,Teracolini
Pierinae,Eronia,Eronia_cleodora,0,0,0,Teracolini
Pierinae,Gideona,Gideona_lucasi,0,0,0,Teracolini
Pierinae,Ixias,Ixias_flavipennis,1,1,2,Teracolini
Pierinae,Ixias,Ixias_kuehni,1,1,2,Teracolini
Pierinae,Ixias,Ixias_marianne,1,0,1,Teracolini
Pierinae,Ixias,Ixias_pyrene,1,0,1,Teracolini
Pierinae,Ixias,Ixias_reinwardtii,1,1,2,Teracolini
Pierinae,Ixias,Ixias_undatus,1,1,2,Teracolini
Pierinae,Ixias,Ixias_venilia,1,1,2,Teracolini
Pierinae,Ixias,Ixias_vollenhovii,1,1,2,Teracolini
Pierinae,Pinacopteryx,Pinacopteryx_eriphia,0,0,0,Teracolini
Pseudopontiinae,Pseudopontia,Pseudopontia_paradoxa,0,0,0,NA
